dataset_names	dataset_lengths	allSameLength	dataset_ntaxa	nMajData	pctData	minQs	meanQs	maxQs
1	ENSACAP00000007167_exon1.NT.TN	489	yes	35	35	93.7	0	30.89	169
2	ENSACAP00000014266_exon4.NT.TN	423	yes	35	35	96.9	0	13	111
3	ENSACAP00000016703_exon1.NT.TN	417	yes	35	35	94.4	0	23.2	196
4	ENSACAP00000005973_exon1.NT.TN	351	yes	35	35	96.1	0	13.54	103
5	ENSACAP00000010351_exon1.NT.TN	333	yes	34	34	95.7	0	14.32	120
6	ENSACAP00000013046_exon1.NT.TN	315	yes	33	33	96.2	0	12.06	94
7	ENSACAP00000008984_exon7.NT.TN	312	yes	33	33	94.7	0	16.42	105
8	ENSACAP00000018694_exon1.NT.TN	306	yes	34	34	94.6	0	16.62	139
9	ENSACAP00000021047_exon1.NT.TN	264	yes	35	35	93.6	0	16.89	72
10	ENSACAP00000009930_exon6.NT.TN	258	yes	33	33	94.6	0	13.94	122
11	ENSACAP00000014581_exon1.NT.TN	249	yes	35	35	92.9	0	17.57	111
12	ENSACAP00000015966_exon79.NT.TN	240	yes	35	35	93.9	0	14.63	90
13	ENSACAP00000013016_exon8.NT.TN	231	yes	35	35	92	0	18.54	110
14	ENSACAP00000003361_exon4.NT.TN	207	yes	35	35	93.4	0	13.66	90
15	ENSACAP00000017014_exon7.NT.TN	207	yes	32	32	96.2	0	7.81	50
16	ENSACAP00000008475_exon19.NT.TN	204	yes	33	33	95.7	0	8.73	84
17	ENSACAP00000017160_exon1.NT.TN	411	yes	34	34	94.8	0	21.41	114
18	ENSACAP00000009622_exon2.NT.TN	402	yes	33	33	96.9	0	12.64	77
19	ENSACAP00000021167_exon1.NT.TN	369	yes	33	33	95.7	0	15.94	135
20	ENSACAP00000008493_exon4.NT.TN	366	yes	34	34	96.1	0	14.24	100
21	ENSACAP00000020519_exon23.NT.TN	348	yes	33	33	90.4	0	33.55	167
22	ENSACAP00000003818_exon2.NT.TN	339	yes	34	34	95.9	0	13.71	128
23	ENSACAP00000003719_exon1.NT.TN	300	yes	34	34	97	0	9.12	75
24	ENSACAP00000016896_exon2.NT.TN	285	yes	34	34	95	0	14.15	100
25	ENSACAP00000003910_exon1.NT.TN	282	yes	34	34	94.6	0	15.12	128
